# Coeficientes:
0;1;2;3;4;5;6
;coef;std err;t;P>|t|;[0.025;0.975]
const;  147.7225;   18.820;    7.849; 0.000;  110.827;  184.617
fixed acidity;    0.0625;    0.021;    2.986; 0.003;    0.021;    0.104
volatile acidity;   -1.8511;    0.114;  -16.249; 0.000;   -2.074;   -1.628
citric acid;    0.0150;    0.096;    0.157; 0.875;   -0.173;    0.203
residual sugar;    0.0801;    0.008;   10.634; 0.000;    0.065;    0.095
chlorides;   -0.2583;    0.546;   -0.473; 0.637;   -1.330;    0.813
free sulfur dioxide;    0.0038;    0.001;    4.508; 0.000;    0.002;    0.005
total sulfur dioxide;   -0.0003;    0.000;   -0.804; 0.422;   -0.001;    0.000
density; -147.7507;   19.091;   -7.739; 0.000; -185.177; -110.324
pH;    0.6776;    0.105;    6.425; 0.000;    0.471;    0.884
sulphates;    0.6129;    0.100;    6.104; 0.000;    0.416;    0.810
alcohol;    0.1952;    0.024;    8.050; 0.000;    0.148;    0.243


# Erros Padrão:
0;1;2;3;4;5;6
;coef;std err;t;P>|t|;[0.025;0.975]
const;  147.7225;   18.820;    7.849; 0.000;  110.827;  184.617
fixed acidity;    0.0625;    0.021;    2.986; 0.003;    0.021;    0.104
volatile acidity;   -1.8511;    0.114;  -16.249; 0.000;   -2.074;   -1.628
citric acid;    0.0150;    0.096;    0.157; 0.875;   -0.173;    0.203
residual sugar;    0.0801;    0.008;   10.634; 0.000;    0.065;    0.095
chlorides;   -0.2583;    0.546;   -0.473; 0.637;   -1.330;    0.813
free sulfur dioxide;    0.0038;    0.001;    4.508; 0.000;    0.002;    0.005
total sulfur dioxide;   -0.0003;    0.000;   -0.804; 0.422;   -0.001;    0.000
density; -147.7507;   19.091;   -7.739; 0.000; -185.177; -110.324
pH;    0.6776;    0.105;    6.425; 0.000;    0.471;    0.884
sulphates;    0.6129;    0.100;    6.104; 0.000;    0.416;    0.810
alcohol;    0.1952;    0.024;    8.050; 0.000;    0.148;    0.243
